TC ID,Test Case Name,Input,Expected Output,Actual Output,Status (PASS/FAIL),Remarks,What is covered by the test
"Pos_Fun_0001","Simple positive statement","mata bath kanna oonee","මට බත් කන්න ඕනේ","මට බත් කන්න ඕනේ",PASS,"","Daily language usage · Simple sentence · S · Accuracy validation"
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eeth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා",PASS,"","Daily language usage · Compound sentence · S · Accuracy validation"
"Pos_Fun_0003","Complex Sentence","api parakku unoth bas eka yaavi","අපි පරක්කු උනොත් බස් එක යාවි","අපි පරක්කු උනොත් බස් එක යාවි",PASS,"","Daily language usage · Complex sentence · S · Accuracy validation"
"Pos_Fun_0004","Interrogative Question","oyaa adha raeeta monavadha kannee kiyalaa mata kiyanna puluvandha?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?","ඔයා අද රෑට මොනවද කන්නේ කියලා මට කියන්න පුලුවන්ද?",PASS,"","Daily language usage · Interrogative (question) · M · Accuracy validation"
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"","Daily language usage · Imperative (command) · S · Accuracy validation"
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","",FAIL,"No output generated","Daily language usage · Negation (negative form) · S · Accuracy validation"
"Pos_Fun_0007","Greeting","suBha raathriyak","සුභ රාත්‍රියක්","",FAIL,"No output generated","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluvandha","මට වතුර එකක් දෙන්න පුලුවන්ද","",FAIL,"No output generated","Greeting / request / response · Interrogative (question) · S · Accuracy validation"
"Pos_Fun_0009","Simple Response","ov mama ennam","ඔව් මම එන්නම්","",FAIL,"No output generated","Greeting / request / response · Simple sentence · S · Accuracy validation"
"Pos_Fun_0010","Collocation","magee adha dhavasee vaeda okkoma ivarayi, mama dhaen gedhara yanavaa.","මගේ අද දවසේ වැඩ ඔක්කොම ඉවරයි, මම දැන් ගෙදර යනවා.","",FAIL,"No output generated","Word combination / phrase pattern · Simple sentence · M · Accuracy validation"
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","",FAIL,"No output generated","Typographical error handling · Simple sentence · S · Robustness validation"
"Pos_Fun_0012","Repeated Words for Emphasis","veegen veegen","වේගෙන් වේගෙන්","",FAIL,"No output generated","Word combination / phrase pattern · Simple sentence · S · Accuracy validation"
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"","Daily language usage · Past tense · S · Accuracy validation"
"Pos_Fun_0014","Present Tense","mama dhaen paadam karanavaa","මම දැන් පාඩම් කරනවා","මම දැන් පාඩම් කරනවා",PASS,"","Daily language usage · Present tense · S · Accuracy validation"
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","",FAIL,"No output generated","Daily language usage · Future tense · S · Accuracy validation"
"Pos_Fun_0016","Plural Usage","paaree inna balloo okkoma ekata buranavaa, eeka nisaa mata baya hithunaa.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.","පාරේ ඉන්න බල්ලෝ ඔක්කොම එකට බුරනවා, ඒක නිසා මට බය හිතුනා.",PASS,"","Daily language usage · Plural form · M · Accuracy validation"
"Pos_Fun_0017","High Politeness","karuNaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුණාකර මට ඉඩ දෙන්න",PASS,"","Greeting / request / response · Imperative (command) · S · Accuracy validation"
